QUERY_ID	BEST_MATCH	SCORE	GENUS	FAMILY	ORDER	CLASS	PHYLUM
read113	Escherichia_coli_UTI89	-649.1571	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read114	Escherichia_coli_SMS-3-5	-614.9397	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read115	Escherichia_coli_APEC_O1	-637.6688	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read116	Escherichia_coli_CFT073	-633.3476	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read117	Escherichia_coli_UTI89	-651.4787	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read118	Escherichia_coli_UTI89	-637.7099	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read119	Escherichia_coli_APEC_O1	-646.6795	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read12	Escherichia_coli_str._K-12_substr._DH10B	-628.3239	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read120	Escherichia_coli_O127COLONCOLONH6_str._E2348SLASH69	-623.9472	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read121	Escherichia_coli_APEC_O1	-637.5070	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read122	Escherichia_coli_O127COLONCOLONH6_str._E2348SLASH69	-638.1905	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read123	Escherichia_coli_CFT073	-646.8308	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read124	Escherichia_coli_S88	-616.7863	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read125	Escherichia_coli_SINGLEQUOTEBL21-GoldLPARENDE3RPARENpLysS_AGSINGLEQUOTE	-638.5906	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read126	Escherichia_coli_APEC_O1	-641.3732	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read127	Escherichia_coli_BW2952	-639.5590	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read128	Escherichia_coli_SINGLEQUOTEBL21-GoldLPARENDE3RPARENpLysS_AGSINGLEQUOTE	-647.2126	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read129	Escherichia_coli_CFT073	-630.6405	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read13	Escherichia_coli_APEC_O1	-642.2673	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read130	Escherichia_coli_CFT073	-649.0521	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read131	Escherichia_coli_str._K-12_substr._MG1655	-638.1527	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read132	Shigella_flexneri_2a_str._2457T	-629.5819	Shigella	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read133	Escherichia_coli_APEC_O1	-637.4279	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read134	Escherichia_coli_APEC_O1	-609.0112	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read135	Escherichia_coli_ATCC_8739	-629.3890	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read136	Escherichia_coli_S88	-640.7984	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read137	Escherichia_coli_UTI89	-642.3693	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read138	Escherichia_coli_APEC_O1	-664.0594	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read139	Escherichia_coli_SMS-3-5	-620.2636	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read14	Escherichia_coli_O127COLONCOLONH6_str._E2348SLASH69	-633.2118	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read140	Escherichia_coli_APEC_O1	-638.9561	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read141	Escherichia_coli_SMS-3-5	-630.6563	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read142	Escherichia_coli_UTI89	-632.6019	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read143	Escherichia_coli_ED1a	-626.9175	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read144	Escherichia_coli_O127COLONCOLONH6_str._E2348SLASH69	-659.6742	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read145	Escherichia_coli_APEC_O1	-640.3336	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read146	Escherichia_coli_O111COLONCOLONH-_str._11128	-639.7214	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read147	Escherichia_coli_str._K-12_substr._DH10B	-648.8697	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read148	Escherichia_coli_ED1a	-634.6215	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read149	Escherichia_coli_536	-619.0914	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read15	Escherichia_coli_S88	-656.5780	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read150	Escherichia_coli_CFT073	-643.9799	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read151	Escherichia_coli_CFT073	-664.9567	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read152	Escherichia_coli_S88	-638.4434	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read153	Escherichia_coli_ED1a	-645.1913	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read154	Bacillus_megaterium_QM_B1551	-650.6023	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes
read155	Escherichia_coli_536	-625.2224	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read156	Escherichia_coli_S88	-633.7490	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read157	Escherichia_coli_IAI1	-633.1386	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read158	Escherichia_coli_UTI89	-648.0934	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read159	Escherichia_coli_CFT073	-651.4959	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read16	Escherichia_coli_S88	-662.2514	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read160	Escherichia_coli_APEC_O1	-651.5779	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read161	Escherichia_coli_S88	-648.5164	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read162	Escherichia_coli_SE11	-639.5623	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read163	Staphylococcus_aureus_subsp._aureus_COL	-648.4475	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes
read164	Escherichia_coli_UTI89	-642.4422	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read165	Escherichia_coli_ATCC_8739	-647.7672	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read166	Lysinibacillus_sphaericus_C3-41	-660.9802	Lysinibacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes
read167	Escherichia_coli_APEC_O1	-661.4396	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read168	Escherichia_coli_IAI1	-642.2091	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read169	Escherichia_fergusonii_ATCC_35469	-637.8522	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read17	Escherichia_coli_UTI89	-644.7336	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read170	Escherichia_coli_IAI39	-633.9162	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read171	Escherichia_coli_S88	-666.5787	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read172	Escherichia_coli_B_str._REL606	-649.2699	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read173	Escherichia_coli_536	-629.6503	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read174	Escherichia_coli_O55COLONCOLONH7_str._CB9615	-655.1640	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read175	Escherichia_coli_APEC_O1	-645.9681	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read176	Escherichia_coli_536	-627.1247	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read177	Escherichia_coli_UTI89	-646.5336	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read178	Escherichia_coli_SINGLEQUOTEBL21-GoldLPARENDE3RPARENpLysS_AGSINGLEQUOTE	-646.5922	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read179	Escherichia_coli_536	-638.2627	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read18	Escherichia_coli_CFT073	-637.1566	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read180	Escherichia_coli_APEC_O1	-640.3340	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read181	Escherichia_coli_APEC_O1	-648.4647	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read182	Shewanella_baltica_OS155	-655.3405	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria
read183	Escherichia_coli_ED1a	-632.6161	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read184	Escherichia_coli_O26COLONCOLONH11_str._11368	-660.1510	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read185	Escherichia_coli_UTI89	-637.6615	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read186	Escherichia_coli_CFT073	-649.8504	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read187	Escherichia_coli_SMS-3-5	-649.0740	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read188	Escherichia_coli_UTI89	-628.4775	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read189	Escherichia_coli_UTI89	-629.3173	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read19	Escherichia_coli_S88	-641.6019	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read190	Escherichia_coli_APEC_O1	-635.1607	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read191	Escherichia_coli_S88	-633.4725	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read192	Escherichia_coli_O111COLONCOLONH-_str._11128	-410.3852	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read193	Escherichia_coli_SINGLEQUOTEBL21-GoldLPARENDE3RPARENpLysS_AGSINGLEQUOTE	-648.9677	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read194	Escherichia_coli_O103COLONCOLONH2_str._12009	-646.1203	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read195	Escherichia_coli_S88	-619.3232	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read196	Escherichia_coli_APEC_O1	-641.7388	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read197	Escherichia_coli_CFT073	-634.7009	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read198	Escherichia_coli_536	-646.4791	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read199	Escherichia_coli_APEC_O1	-647.0632	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read2	Shigella_flexneri_5_str._8401	-636.6363	Shigella	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read20	Escherichia_coli_O157COLONCOLONH7_str._EC4115	-632.1913	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read200	Escherichia_coli_536	-646.3263	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read201	Escherichia_coli_UMN026	-641.4651	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read202	Escherichia_coli_APEC_O1	-589.0511	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read203	Escherichia_coli_536	-641.3026	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read204	Escherichia_coli_APEC_O1	-647.3529	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read205	Escherichia_coli_536	-641.0904	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read206	Escherichia_coli_536	-638.0610	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read207	Escherichia_coli_str._K-12_substr._DH10B	-649.7237	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read208	Escherichia_coli_O55COLONCOLONH7_str._CB9615	-639.7577	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read209	Escherichia_coli_S88	-628.5621	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read21	Escherichia_coli_536	-650.3298	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read210	Escherichia_coli_APEC_O1	-660.0465	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read211	Escherichia_coli_CFT073	-661.5121	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read212	Escherichia_coli_536	-624.2016	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read213	Escherichia_coli_CFT073	-642.5375	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read214	Escherichia_coli_S88	-602.3405	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read215	Escherichia_coli_APEC_O1	-652.2812	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read216	Escherichia_coli_CFT073	-670.9137	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read217	Escherichia_coli_O157COLONCOLONH7_str._Sakai	-656.2603	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read218	Escherichia_coli_O127COLONCOLONH6_str._E2348SLASH69	-621.9156	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read219	Escherichia_coli_ED1a	-665.5637	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read22	Escherichia_coli_536	-638.2660	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read220	Escherichia_coli_APEC_O1	-645.3407	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read221	Escherichia_coli_UTI89	-622.0333	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read222	Escherichia_coli_S88	-631.7193	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read223	Escherichia_coli_O127COLONCOLONH6_str._E2348SLASH69	-636.5439	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read224	Macrococcus_caseolyticus_JCSC5402	-644.1643	Macrococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes
read225	Escherichia_coli_536	-638.7265	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read226	Escherichia_coli_APEC_O1	-644.6651	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read227	Escherichia_coli_S88	-639.5865	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read228	Escherichia_coli_SMS-3-5	-632.6027	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read229	Escherichia_coli_IAI1	-641.4137	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read23	Escherichia_coli_BW2952	-633.8950	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read230	Escherichia_coli_APEC_O1	-636.2410	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read231	Escherichia_fergusonii_ATCC_35469	-642.2737	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read232	Escherichia_coli_BW2952	-635.1283	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read233	Escherichia_coli_S88	-651.3591	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read234	Escherichia_coli_ED1a	-643.4844	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read235	Escherichia_coli_APEC_O1	-636.6045	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read236	Escherichia_coli_CFT073	-648.0286	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read237	Escherichia_coli_536	-640.5323	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read238	Escherichia_coli_APEC_O1	-643.1912	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read239	Citrobacter_koseri_ATCC_BAA-895	-612.1964	Citrobacter	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read24	Escherichia_coli_S88	-623.6835	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read240	Escherichia_coli_APEC_O1	-654.9627	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read241	Escherichia_coli_S88	-640.4385	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read242	Escherichia_coli_O127COLONCOLONH6_str._E2348SLASH69	-628.3723	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read243	Escherichia_coli_APEC_O1	-634.5608	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read244	Escherichia_coli_55989	-619.3180	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read245	Escherichia_coli_O127COLONCOLONH6_str._E2348SLASH69	-642.7908	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read246	Escherichia_coli_BW2952	-625.8678	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read247	Escherichia_coli_str._K-12_substr._MG1655	-650.1550	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read248	Escherichia_coli_O127COLONCOLONH6_str._E2348SLASH69	-653.7711	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read249	Escherichia_coli_O55COLONCOLONH7_str._CB9615	-641.8932	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read25	Escherichia_coli_SMS-3-5	-653.9135	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read250	Escherichia_coli_SMS-3-5	-635.6865	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read251	Escherichia_coli_APEC_O1	-642.5233	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read252	Escherichia_coli_SE11	-644.4093	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read253	Escherichia_coli_str._K-12_substr._DH10B	-625.2562	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read254	Escherichia_coli_IAI39	-640.2906	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read255	Escherichia_coli_S88	-637.8372	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read256	Escherichia_coli_S88	-640.8806	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read257	Escherichia_coli_S88	-633.5932	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read258	Escherichia_coli_O26COLONCOLONH11_str._11368	-654.2210	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read259	Escherichia_coli_IAI39	-647.3787	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read26	Escherichia_coli_O127COLONCOLONH6_str._E2348SLASH69	-637.5205	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read260	Escherichia_coli_S88	-630.5660	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read261	Escherichia_coli_536	-637.3618	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read262	Escherichia_coli_APEC_O1	-635.1927	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read263	Escherichia_coli_APEC_O1	-658.0452	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read264	Escherichia_coli_S88	-646.8835	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read265	Escherichia_coli_UTI89	-650.6017	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read266	Escherichia_coli_ED1a	-630.1931	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read267	Escherichia_coli_B_str._REL606	-652.2364	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read268	Escherichia_coli_APEC_O1	-593.1236	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read269	Escherichia_coli_ATCC_8739	-651.1217	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read27	Escherichia_coli_APEC_O1	-642.9431	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read270	Escherichia_coli_S88	-628.8315	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read271	Escherichia_coli_ED1a	-643.7322	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read272	Escherichia_coli_S88	-643.8541	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read273	Escherichia_coli_CFT073	-635.3405	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
